Selection	View	Channel	Begin Time (s)	End Time (s)	Low Frequency	High Frequency	Species	Confidence
1	Spectrogram 1	1	102.000000000	105.000000000	1000	8000	Bubulcus ibis_Cattle Egret	0.1545388996601104
2	Spectrogram 1	1	165.000000000	168.000000000	1000	8000	Anastomus oscitans_Asian Openbill	0.1682299077510833
3	Spectrogram 1	1	189.000000000	192.000000000	1000	8000	Bubulcus ibis_Cattle Egret	0.1373844593763351
4	Spectrogram 1	1	225.000000000	228.000000000	0	8000	Anastomus oscitans_Asian Openbill	0.1033769696950912
5	Spectrogram 1	1	246.000000000	249.000000000	1000	8000	Bubulcus ibis_Cattle Egret	0.4684061408042907
6	Spectrogram 1	1	249.000000000	252.000000000	1000	8000	Bubulcus ibis_Cattle Egret	0.1612304300069809
7	Spectrogram 1	1	252.000000000	255.000000000	1000	8000	Bubulcus ibis_Cattle Egret	0.1570265591144561
8	Spectrogram 1	1	327.000000000	330.000000000	1000	8000	Eurystomus orientalis_Dollarbird	0.1201571077108383
9	Spectrogram 1	1	390.000000000	393.000000000	1000	8000	Anastomus oscitans_Asian Openbill	0.3357706665992737
10	Spectrogram 1	1	564.000000000	567.000000000	1000	8000	Anastomus oscitans_Asian Openbill	0.2693893313407898
11	Spectrogram 1	1	570.000000000	573.000000000	1000	8000	Anastomus oscitans_Asian Openbill	0.1913461238145828
12	Spectrogram 1	1	579.000000000	582.000000000	1000	8000	Eurystomus orientalis_Dollarbird	0.1291161924600601
16	Spectrogram 1	1	317.841415278	331.287958196				
