site_id,sensor_id,datetime_local,species_common,species_scientific,confidence,start_time_sec,end_time_sec,file_name,date,hour,minute,call_duration
1,7899,2025-02-04 00:00:00,Eurasian Tree Sparrow,Passer montanus,0.37600255012512207,135.0,138.0,1_S7899_20250204_000000(UTC+7).wav,2025-02-04,0,0,3.0
1,7899,2025-02-04 00:00:00,Eurasian Tree Sparrow,Passer montanus,0.4256919026374817,138.0,141.0,1_S7899_20250204_000000(UTC+7).wav,2025-02-04,0,0,3.0
1,7899,2025-02-04 00:00:00,Eurasian Tree Sparrow,Passer montanus,0.789226770401001,141.0,144.0,1_S7899_20250204_000000(UTC+7).wav,2025-02-04,0,0,3.0
1,7899,2025-02-04 00:00:00,Eurasian Tree Sparrow,Passer montanus,0.6117960810661316,144.0,147.0,1_S7899_20250204_000000(UTC+7).wav,2025-02-04,0,0,3.0
1,7899,2025-02-04 00:00:00,Bank Swallow,Riparia riparia,0.4317670166492462,597.0,600.0,1_S7899_20250204_000000(UTC+7).wav,2025-02-04,0,0,3.0
3,7901,2025-02-04 00:15:00,Cattle Egret,Bubulcus ibis,0.32149702310562134,336.0,339.0,3_S7901_20250204_001500(UTC+7).wav,2025-02-04,0,15,3.0
3,7901,2025-02-04 00:45:00,Plain-backed Sparrow,Passer flaveolus,0.7595130801200867,216.0,219.0,3_S7901_20250204_004500(UTC+7).wav,2025-02-04,0,45,3.0
3,7901,2025-02-04 00:45:00,House Sparrow,Passer domesticus,0.32718798518180847,216.0,219.0,3_S7901_20250204_004500(UTC+7).wav,2025-02-04,0,45,3.0
1,7899,2025-02-04 00:45:00,Richard's Pipit,Anthus richardi,0.3608708083629608,237.0,240.0,1_S7899_20250204_004500(UTC+7).wav,2025-02-04,0,45,3.0
1,7899,2025-02-04 00:45:00,Plain-backed Sparrow,Passer flaveolus,0.5314385890960693,249.0,252.0,1_S7899_20250204_004500(UTC+7).wav,2025-02-04,0,45,3.0
1,7899,2025-02-04 00:45:00,Richard's Pipit,Anthus richardi,0.5814436078071594,279.0,282.0,1_S7899_20250204_004500(UTC+7).wav,2025-02-04,0,45,3.0
3,7901,2025-02-04 00:45:00,House Sparrow,Passer domesticus,0.26324567198753357,279.0,282.0,3_S7901_20250204_004500(UTC+7).wav,2025-02-04,0,45,3.0
3,7901,2025-02-04 00:45:00,Cattle Egret,Bubulcus ibis,0.4414292871952057,297.0,300.0,3_S7901_20250204_004500(UTC+7).wav,2025-02-04,0,45,3.0
1,7899,2025-02-04 00:45:00,Asian Openbill,Anastomus oscitans,0.31067055463790894,375.0,378.0,1_S7899_20250204_004500(UTC+7).wav,2025-02-04,0,45,3.0
3,7901,2025-02-04 01:00:00,Richard's Pipit,Anthus richardi,0.9624255299568176,135.0,138.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Plain-backed Sparrow,Passer flaveolus,0.32569465041160583,138.0,141.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Plain-backed Sparrow,Passer flaveolus,0.6379308104515076,144.0,147.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.6289593577384949,210.0,213.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
1,7899,2025-02-04 01:00:00,House Sparrow,Passer domesticus,0.25684109330177307,213.0,216.0,1_S7899_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.6988802552223206,213.0,216.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,House Sparrow,Passer domesticus,0.3804149031639099,213.0,216.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
1,7899,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.2508407533168793,216.0,219.0,1_S7899_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.6915897727012634,216.0,219.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.4382796585559845,219.0,222.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.560968816280365,222.0,225.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.8571048974990845,225.0,228.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
1,7899,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.35903286933898926,228.0,231.0,1_S7899_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
1,7899,2025-02-04 01:00:00,House Sparrow,Passer domesticus,0.291797935962677,228.0,231.0,1_S7899_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.8140669465065002,228.0,231.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,House Sparrow,Passer domesticus,0.30330029129981995,228.0,231.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
3,7901,2025-02-04 01:00:00,Eurasian Tree Sparrow,Passer montanus,0.804185688495636,231.0,234.0,3_S7901_20250204_010000(UTC+7).wav,2025-02-04,1,0,3.0
